Temperature	Et	tn0	k	chi2										
100	0	2.91E-12	1029.15	1.63E-19										
100	0.016	1.81E-11	164.954	1.63E-19										
100	0.032	9.68E-11	29.982	1.63E-19										
100	0.048	3.03E-10	8.90175	1.63E-19										
100	0.064	4.54E-10	5.60939	1.63E-19										
100	0.08	4.92E-10	5.09518	1.63E-19		Sum of tn0	Column Labels							
100	0.096	4.99E-10	5.01487	1.63E-19		Row Labels	100	200	300	400	500	600	700	Grand Total
100	0.112	5.00E-10	5.00232	1.63E-19		0.16	4.99999E-10	3.43905E-10	1.20001E-10	3.87424E-11	3.77967E-11	4.43024E-11	5.0502E-11	1.13525E-09
100	0.128	5.00E-10	5.00036	1.63E-19		0.176	5E-10	3.49734E-10	1.67232E-10	5.94179E-11	5.44206E-11	6.02533E-11	6.57944E-11	1.25685E-09
100	0.144	5.00E-10	5.00006	1.63E-19		0.192	5E-10	3.52092E-10	2.12214E-10	8.9416E-11	7.81225E-11	8.189E-11	8.56985E-11	1.39943E-09
100	0.16	5.00E-10	5.00001	1.63E-19		0.208	5E-10	3.53033E-10	2.48161E-10	1.3099E-10	1.11672E-10	1.11191E-10	1.11592E-10	1.56664E-09
100	0.176	5.00E-10	5	1.63E-19		0.224	5E-10	3.53406E-10	2.7307E-10	1.8509E-10	1.58679E-10	1.50785E-10	1.45255E-10	1.76629E-09
100	0.192	5.00E-10	5	1.63E-19		0.24	5E-10	3.53553E-10	2.88675E-10	2.5E-10	2.23607E-10	2.04124E-10	1.88982E-10	2.00894E-09
100	0.208	5.00E-10	5	1.63E-19		0.256	5E-10	3.53612E-10	2.97841E-10	3.20703E-10	3.11539E-10	2.75693E-10	2.45718E-10	2.30511E-09
100	0.224	5.00E-10	5	1.63E-19		0.272	5E-10	3.53635E-10	3.03023E-10	3.90049E-10	4.27504E-10	3.71201E-10	3.19227E-10	2.66464E-09
100	0.24	5.00E-10	5	1.63E-19		0.288	5E-10	3.53644E-10	3.05888E-10	4.51412E-10	5.75196E-10	4.97741E-10	4.1429E-10	3.09817E-09
100	0.256	5.00E-10	5	1.63E-19		0.304	5E-10	3.53648E-10	3.07454E-10	5.00955E-10	7.55158E-10	6.63798E-10	5.36932E-10	3.61795E-09
100	0.272	5.00E-10	5	1.63E-19		0.32	5E-10	3.53649E-10	3.08304E-10	5.38081E-10	9.62991E-10	8.79003E-10	6.94661E-10	4.23669E-09
100	0.288	5.00E-10	5	1.63E-19		Grand Total	5.5E-09	3.87391E-09	2.83186E-09	2.95486E-09	3.69669E-09	3.33998E-09	2.85865E-09	2.50559E-08
100	0.304	5.00E-10	5	1.63E-19										
100	0.32	5.00E-10	5	1.63E-19										
100	0.336	5.00E-10	5	1.63E-19										
100	0.352	5.00E-10	5	1.63E-19										
100	0.368	5.00E-10	5	1.63E-19										
100	0.384	5.00E-10	5	1.63E-19										
100	0.4	5.00E-10	5	1.63E-19										
100	0.416	5.00E-10	5	1.63E-19										
100	0.432	5.00E-10	5	1.63E-19										
100	0.448	5.00E-10	5	1.63E-19										
100	0.464	5.00E-10	5	1.63E-19										
100	0.48	5.00E-10	5	1.63E-19										
100	0.496	5.00E-10	5	1.63E-19										
100	0.512	5.00E-10	5	1.63E-19										
100	0.528	5.00E-10	5	1.63E-19										
100	0.544	5.00E-10	5	1.63E-19										
100	0.56	5.00E-10	5	1.63E-19										
100	0.576	5.00E-10	5	1.63E-19										
100	0.592	5.00E-10	5	1.63E-19										
100	0.608	5.00E-10	5	1.63E-19										
100	0.624	5.00E-10	5	1.63E-19										
100	0.64	5.00E-10	5	1.63E-19										
100	0.656	5.00E-10	5	1.63E-19										
100	0.672	5.00E-10	5	1.63E-19										
100	0.688	5.00E-10	5	1.63E-19										
100	0.704	5.00E-10	5	1.63E-19										
100	0.72	5.00E-10	5	1.63E-19										
100	0.736	5.00E-10	5	1.63E-19										
100	0.752	5.00E-10	5	1.63E-19										
100	0.768	5.00E-10	5	1.63E-19										
100	0.784	5.00E-10	5	1.63E-19										
100	0.8	5.00E-10	5	1.63E-19										
100	0.816	5.00E-10	5	1.63E-19										
100	0.832	5.00E-10	5	1.63E-19										
100	0.848	5.00E-10	5	1.63E-19										
100	0.864	5.00E-10	5	1.63E-19										
100	0.88	5.00E-10	5	1.63E-19										
100	0.896	5.00E-10	5	1.63E-19										
100	0.912	5.00E-10	5	1.63E-19										
100	0.928	5.00E-10	5	1.63E-19										
100	0.944	5.00E-10	5	1.63E-19										
100	0.96	5.00E-10	5	1.63E-19										
100	0.976	5.00E-10	5	1.63E-19										
100	0.992	5.00E-10	5	1.63E-19										
100	1.008	5.00E-10	5	1.63E-19										
100	1.024	5.00E-10	5	1.63E-19										
100	1.04	5.00E-10	5.00001	1.63E-19										
100	1.056	5.00E-10	5.00002	1.63E-19										
