NA=1e+17 Nt=1e+14 Et=0.24 sigmaN=2e-14 sigmaP=4e-15 deltaNPowers:[12,19] temp:[100,700] tempStep=100
1e+12 5.00079e-10 3.53669e-10 3.09316e-10 6.1528e-10 2.48208e-09 8.2844e-09 2.11058e-08
2e+12 5.00159e-10 3.53688e-10 3.09331e-10 6.15289e-10 2.48207e-09 8.28432e-09 2.11056e-08
3e+12 5.00238e-10 3.53708e-10 3.09345e-10 6.15298e-10 2.48206e-09 8.28425e-09 2.11054e-08
4e+12 5.00317e-10 3.53727e-10 3.0936e-10 6.15307e-10 2.48204e-09 8.28418e-09 2.11052e-08
5e+12 5.00396e-10 3.53746e-10 3.09374e-10 6.15316e-10 2.48203e-09 8.28411e-09 2.1105e-08
6e+12 5.00476e-10 3.53765e-10 3.09389e-10 6.15325e-10 2.48202e-09 8.28404e-09 2.11048e-08
7e+12 5.00555e-10 3.53785e-10 3.09403e-10 6.15333e-10 2.48201e-09 8.28397e-09 2.11046e-08
8e+12 5.00634e-10 3.53804e-10 3.09418e-10 6.15342e-10 2.482e-09 8.2839e-09 2.11044e-08
9e+12 5.00713e-10 3.53823e-10 3.09432e-10 6.15351e-10 2.48199e-09 8.28383e-09 2.11042e-08
1e+13 5.00793e-10 3.53842e-10 3.09446e-10 6.1536e-10 2.48198e-09 8.28376e-09 2.1104e-08
2e+13 5.01585e-10 3.54035e-10 3.09591e-10 6.15449e-10 2.48186e-09 8.28305e-09 2.1102e-08
3e+13 5.02376e-10 3.54227e-10 3.09735e-10 6.15538e-10 2.48175e-09 8.28235e-09 2.11e-08
4e+13 5.03167e-10 3.5442e-10 3.09879e-10 6.15627e-10 2.48163e-09 8.28164e-09 2.1098e-08
5e+13 5.03958e-10 3.54612e-10 3.10024e-10 6.15715e-10 2.48152e-09 8.28093e-09 2.1096e-08
6e+13 5.04748e-10 3.54805e-10 3.10168e-10 6.15804e-10 2.4814e-09 8.28023e-09 2.1094e-08
7e+13 5.05538e-10 3.54997e-10 3.10312e-10 6.15893e-10 2.48129e-09 8.27952e-09 2.10921e-08
8e+13 5.06327e-10 3.55189e-10 3.10456e-10 6.15982e-10 2.48118e-09 8.27882e-09 2.10901e-08
9e+13 5.07115e-10 3.55381e-10 3.106e-10 6.16071e-10 2.48106e-09 8.27811e-09 2.10881e-08
1e+14 5.07903e-10 3.55573e-10 3.10744e-10 6.16159e-10 2.48095e-09 8.2774e-09 2.10861e-08
2e+14 5.15757e-10 3.57493e-10 3.12184e-10 6.17046e-10 2.47981e-09 8.27036e-09 2.10661e-08
3e+14 5.23561e-10 3.59408e-10 3.1362e-10 6.1793e-10 2.47867e-09 8.26333e-09 2.10463e-08
4e+14 5.31316e-10 3.61319e-10 3.15054e-10 6.18813e-10 2.47754e-09 8.25631e-09 2.10264e-08
5e+14 5.39023e-10 3.63225e-10 3.16485e-10 6.19694e-10 2.4764e-09 8.2493e-09 2.10066e-08
6e+14 5.46682e-10 3.65128e-10 3.17913e-10 6.20573e-10 2.47527e-09 8.24231e-09 2.09868e-08
7e+14 5.54293e-10 3.67027e-10 3.19338e-10 6.2145e-10 2.47414e-09 8.23533e-09 2.09671e-08
8e+14 5.61857e-10 3.68921e-10 3.2076e-10 6.22326e-10 2.47302e-09 8.22837e-09 2.09474e-08
9e+14 5.69375e-10 3.70811e-10 3.22179e-10 6.232e-10 2.4719e-09 8.22142e-09 2.09278e-08
1e+15 5.76847e-10 3.72698e-10 3.23595e-10 6.24072e-10 2.47077e-09 8.21449e-09 2.09082e-08
2e+15 6.4911e-10 3.91339e-10 3.37605e-10 6.327e-10 2.45968e-09 8.14588e-09 2.07142e-08
3e+15 7.17187e-10 4.09587e-10 3.51338e-10 6.4116e-10 2.4488e-09 8.07861e-09 2.0524e-08
4e+15 7.81433e-10 4.27455e-10 3.64803e-10 6.49456e-10 2.43814e-09 8.01264e-09 2.03375e-08
5e+15 8.42162e-10 4.44953e-10 3.78008e-10 6.57593e-10 2.42767e-09 7.94792e-09 2.01545e-08
6e+15 8.99655e-10 4.62093e-10 3.90961e-10 6.65576e-10 2.41741e-09 7.88442e-09 1.99749e-08
7e+15 9.54163e-10 4.78886e-10 4.03668e-10 6.73409e-10 2.40733e-09 7.82211e-09 1.97988e-08
8e+15 1.00591e-09 4.95343e-10 4.16136e-10 6.81097e-10 2.39744e-09 7.76096e-09 1.96258e-08
9e+15 1.05511e-09 5.11473e-10 4.28373e-10 6.88642e-10 2.38774e-09 7.70093e-09 1.94561e-08
1e+16 1.10194e-09 5.27287e-10 4.40384e-10 6.9605e-10 2.37821e-09 7.642e-09 1.92895e-08
2e+16 1.47026e-09 6.69862e-10 5.4935e-10 7.63313e-10 2.29168e-09 7.10671e-09 1.77758e-08
