Temperature, Et, tn0, k, chi2
463, 0.0461313, 3.85552e-08, 6006.34, 0.00141397
463, 0.0569086, 5.05099e-08, 4584.52, 0.00141397
463, 0.067686, 6.61704e-08, 3499.27, 0.00141397
463, 0.0784634, 8.66848e-08, 2670.91, 0.00141397
463, 0.0892408, 1.13556e-07, 2038.64, 0.00141397
463, 0.100018, 1.48753e-07, 1556.03, 0.00141397
463, 0.110796, 1.94852e-07, 1187.67, 0.00141397
463, 0.121573, 2.55222e-07, 906.499, 0.00141397
463, 0.13235, 3.34274e-07, 691.887, 0.00141397
463, 0.143128, 4.3777e-07, 528.077, 0.00141397
463, 0.153905, 5.73241e-07, 403.043, 0.00141397
463, 0.164682, 7.50517e-07, 307.606, 0.00141397
463, 0.17546, 9.82413e-07, 234.761, 0.00141397
463, 0.186237, 1.28561e-06, 179.159, 0.00141397
463, 0.197015, 1.6818e-06, 136.718, 0.00141397
463, 0.207792, 2.19906e-06, 104.324, 0.00141397
463, 0.218569, 2.87368e-06, 79.5984, 0.00141397
463, 0.229347, 3.75233e-06, 60.7254, 0.00141397
463, 0.240124, 4.89464e-06, 46.32, 0.00141397
463, 0.250901, 6.37625e-06, 35.3245, 0.00141397
463, 0.261679, 8.29213e-06, 26.9318, 0.00141397
463, 0.272456, 1.07599e-05, 20.5258, 0.00141397
463, 0.283234, 1.39223e-05, 15.6361, 0.00141397
463, 0.294011, 1.79491e-05, 11.904, 0.00141397
463, 0.304788, 2.30342e-05, 9.05523, 0.00141397
463, 0.315566, 2.93895e-05, 6.88084, 0.00141397
463, 0.326343, 3.72301e-05, 5.22115, 0.00141397
463, 0.33712, 4.67497e-05, 3.95434, 0.00141397
463, 0.347898, 5.80865e-05, 2.9874, 0.00141397
463, 0.358675, 7.12802e-05, 2.24935, 0.00141397
463, 0.369453, 8.623e-05, 1.686, 0.00141397
463, 0.38023, 0.000102665, 1.25601, 0.00141397
463, 0.391007, 0.000120144, 0.927803, 0.00141397
463, 0.401785, 0.000138089, 0.677286, 0.00141397
463, 0.412562, 0.000155857, 0.486071, 0.00141397
463, 0.423339, 0.000172831, 0.340118, 0.00141397
463, 0.434117, 0.000188501, 0.228715, 0.00141397
463, 0.444894, 0.000202516, 0.143682, 0.00141397
463, 0.455672, 0.0002147, 0.0787783, 0.00141397
463, 0.466449, 0.000225035, 0.0292379, 0.00141397
463, 0.477226, 0.000233618, -0.00857615, 0.00141397
463, 0.488004, 0.000240623, -0.0374383, 0.00141397
463, 0.498781, 0.000246259, -0.0594687, 0.00141397
463, 0.509558, 0.000250742, -0.0762842, 0.00141397
463, 0.520336, 0.000254275, -0.0891193, 0.00141397
463, 0.531113, 0.000257039, -0.0989161, 0.00141397
463, 0.541891, 0.00025919, -0.106394, 0.00141397
463, 0.552668, 0.000260857, -0.112102, 0.00141397
463, 0.563445, 0.000262143, -0.116459, 0.00141397
463, 0.574223, 0.000263133, -0.119784, 0.00141397
463, 0.585, 0.000263894, -0.122323, 0.00141397
463, 0.595777, 0.000264478, -0.12426, 0.00141397
463, 0.606555, 0.000264926, -0.12574, 0.00141397
463, 0.617332, 0.000265268, -0.126869, 0.00141397
463, 0.628109, 0.000265531, -0.127731, 0.00141397
463, 0.638887, 0.000265731, -0.12839, 0.00141397
463, 0.649664, 0.000265885, -0.128893, 0.00141397
463, 0.660442, 0.000266003, -0.129279, 0.00141397
463, 0.671219, 0.000266093, -0.129574, 0.00141397
463, 0.681996, 0.000266162, -0.1298, 0.00141397
463, 0.692774, 0.000266215, -0.129975, 0.00141397
463, 0.703551, 0.000266257, -0.130111, 0.00141397
463, 0.714328, 0.00026629, -0.130218, 0.00141397
463, 0.725106, 0.000266316, -0.130303, 0.00141397
463, 0.735883, 0.000266338, -0.130374, 0.00141397
463, 0.746661, 0.000266356, -0.130435, 0.00141397
463, 0.757438, 0.000266374, -0.130491, 0.00141397
463, 0.768215, 0.00026639, -0.130546, 0.00141397
463, 0.778993, 0.000266408, -0.130604, 0.00141397
463, 0.78977, 0.000266428, -0.13067, 0.00141397
463, 0.800547, 0.000266452, -0.130747, 0.00141397
463, 0.811325, 0.000266481, -0.130842, 0.00141397
463, 0.822102, 0.000266518, -0.130963, 0.00141397
463, 0.83288, 0.000266565, -0.131117, 0.00141397
463, 0.843657, 0.000266627, -0.131317, 0.00141397
463, 0.854434, 0.000266707, -0.131577, 0.00141397
463, 0.865212, 0.000266811, -0.131918, 0.00141397
463, 0.875989, 0.000266949, -0.132367, 0.00141397
463, 0.886766, 0.000267131, -0.132958, 0.00141397
463, 0.897544, 0.000267372, -0.13374, 0.00141397
463, 0.908321, 0.000267693, -0.134777, 0.00141397
463, 0.919099, 0.000268122, -0.136161, 0.00141397
463, 0.929876, 0.000268699, -0.138017, 0.00141397
463, 0.940653, 0.000269484, -0.140526, 0.00141397
463, 0.951431, 0.000270563, -0.143954, 0.00141397
463, 0.962208, 0.000272074, -0.148708, 0.00141397
463, 0.972985, 0.000274239, -0.155431, 0.00141397
463, 0.983763, 0.000277454, -0.165217, 0.00141397
463, 0.99454, 0.000282481, -0.180071, 0.00141397
463, 1.00532, 0.000291014, -0.204112, 0.00141397
463, 1.01609, 0.000307745, -0.247383, 0.00141397
463, 1.02687, 0.000352272, -0.342514, 0.00141397
463, 1.03765, 0.00074781, -0.690277, 0.00141397
463, 1.04843, 7.4945e-05, 2.09046, 0.00141397
463, 1.0592, 0.000173755, 0.332995, 0.00141397
463, 1.06998, 0.000199933, 0.158461, 0.00141397
463, 1.08076, 0.000211723, 0.0939484, 0.00141397
463, 1.09154, 0.000218243, 0.0612689, 0.00141397
463, 1.10231, 0.00022226, 0.0420884, 0.00141397
463, 1.11309, 0.000224902, 0.0298469, 0.00141397
463, 1.12387, 0.000226714, 0.0216118, 0.00141397
453, 0.0445656, 3.91963e-08, 6054.36, 0.00140514
453, 0.0553743, 5.16981e-08, 4590.03, 0.00140514
453, 0.066183, 6.81865e-08, 3479.86, 0.00140514
453, 0.0769917, 8.99317e-08, 2638.2, 0.00140514
453, 0.0878003, 1.18608e-07, 2000.1, 0.00140514
453, 0.098609, 1.56424e-07, 1516.34, 0.00140514
453, 0.109418, 2.06287e-07, 1149.57, 0.00140514
453, 0.120226, 2.72027e-07, 871.515, 0.00140514
453, 0.131035, 3.58689e-07, 660.708, 0.00140514
453, 0.141844, 4.7291e-07, 500.888, 0.00140514
453, 0.152652, 6.23416e-07, 379.721, 0.00140514
453, 0.163461, 8.21669e-07, 287.86, 0.00140514
453, 0.17427, 1.08271e-06, 218.217, 0.00140514
453, 0.185079, 1.42622e-06, 165.417, 0.00140514
453, 0.195887, 1.87793e-06, 125.388, 0.00140514
453, 0.206696, 2.47134e-06, 95.0399, 0.00140514
453, 0.217505, 3.24991e-06, 72.032, 0.00140514
453, 0.228313, 4.26971e-06, 54.5887, 0.00140514
453, 0.239122, 5.60253e-06, 41.3643, 0.00140514
453, 0.249931, 7.3395e-06, 31.3384, 0.00140514
453, 0.260739, 9.59472e-06, 23.7373, 0.00140514
453, 0.271548, 1.25087e-05, 17.9746, 0.00140514
453, 0.282357, 1.62503e-05, 13.6057, 0.00140514
453, 0.293165, 2.10163e-05, 10.2935, 0.00140514
453, 0.303974, 2.70255e-05, 7.78235, 0.00140514
453, 0.314783, 3.45055e-05, 5.87855, 0.00140514
453, 0.325591, 4.36685e-05, 4.43521, 0.00140514
453, 0.3364, 5.46764e-05, 3.34095, 0.00140514
453, 0.347209, 6.75943e-05, 2.51135, 0.00140514
453, 0.358018, 8.23437e-05, 1.8824, 0.00140514
453, 0.368826, 9.86659e-05, 1.40557, 0.00140514
453, 0.379635, 0.000116116, 1.04406, 0.00140514
453, 0.390444, 0.000134095, 0.76999, 0.00140514
453, 0.401252, 0.000151931, 0.562205, 0.00140514
453, 0.412061, 0.00016897, 0.404675, 0.00140514
453, 0.42287, 0.000184671, 0.285245, 0.00140514
453, 0.433678, 0.000198667, 0.194701, 0.00140514
453, 0.444487, 0.000210778, 0.126055, 0.00140514
453, 0.455296, 0.000220992, 0.0740124, 0.00140514
453, 0.466104, 0.00022942, 0.0345567, 0.00140514
453, 0.476913, 0.000236251, 0.00464387, 0.00140514
453, 0.487722, 0.000241707, -0.0180344, 0.00140514
453, 0.49853, 0.000246014, -0.0352276, 0.00140514
453, 0.509339, 0.000249384, -0.0482625, 0.00140514
453, 0.520148, 0.000252, -0.0581449, 0.00140514
453, 0.530957, 0.000254021, -0.065637, 0.00140514
453, 0.541765, 0.000255574, -0.0713172, 0.00140514
453, 0.552574, 0.000256765, -0.0756235, 0.00140514
453, 0.563383, 0.000257675, -0.0788884, 0.00140514
453, 0.574191, 0.00025837, -0.0813637, 0.00140514
453, 0.585, 0.000258898, -0.0832403, 0.00140514
453, 0.595809, 0.000259301, -0.0846631, 0.00140514
453, 0.606617, 0.000259607, -0.085742, 0.00140514
