Temperature, Et, tn0, k, chi2
100, 0.00321332, 2.0369e-12, 3271.95, 2.30163e-19
100, 0.014849, 7.81839e-12, 851.691, 2.30163e-19
100, 0.0264848, 2.95724e-11, 224.436, 2.30163e-19
100, 0.0381205, 1.06037e-10, 61.8709, 2.30163e-19
100, 0.0497563, 3.21453e-10, 19.7392, 2.30163e-19
100, 0.061392, 6.78891e-10, 8.81994, 2.30163e-19
100, 0.0730277, 9.53742e-10, 5.99001, 2.30163e-19
100, 0.0846635, 1.06554e-09, 5.25659, 2.30163e-19
100, 0.0962992, 1.09893e-09, 5.06651, 2.30163e-19
100, 0.107935, 1.10793e-09, 5.01724, 2.30163e-19
100, 0.119571, 1.11028e-09, 5.00447, 2.30163e-19
100, 0.131206, 1.1109e-09, 5.00117, 2.30163e-19
100, 0.142842, 1.11105e-09, 5.00031, 2.30163e-19
100, 0.154478, 1.1111e-09, 5.00009, 2.30163e-19
100, 0.166114, 1.11111e-09, 5.00003, 2.30163e-19
100, 0.177749, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.189385, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.201021, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.212657, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.224292, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.235928, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.247564, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.259199, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.270835, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.282471, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.294107, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.305742, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.317378, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.329014, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.34065, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.352285, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.363921, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.375557, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.387193, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.398828, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.410464, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.4221, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.433735, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.445371, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.457007, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.468643, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.480278, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.491914, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.50355, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.515186, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.526821, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.538457, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.550093, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.561729, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.573364, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.585, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.596636, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.608271, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.619907, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.631543, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.643179, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.654814, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.66645, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.678086, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.689722, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.701357, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.712993, 1.11111e-09, 5.00001, 2.30163e-19
100, 0.724629, 1.11111e-09, 5.00001, 2.30163e-19
