Temperature, Et, tn0, k, chi2
100, 0.00321332, 1.17601e-12, 3271.94, 1.47146e-19
100, 0.014849, 4.51395e-12, 851.69, 1.47146e-19
100, 0.0264848, 1.70736e-11, 224.436, 1.47146e-19
100, 0.0381205, 6.12208e-11, 61.8708, 1.47146e-19
100, 0.0497563, 1.85591e-10, 19.7391, 1.47146e-19
100, 0.061392, 3.91958e-10, 8.81992, 1.47146e-19
100, 0.0730277, 5.50644e-10, 5.99001, 1.47146e-19
100, 0.0846635, 6.15193e-10, 5.25658, 1.47146e-19
100, 0.0962992, 6.34469e-10, 5.0665, 1.47146e-19
100, 0.107935, 6.39663e-10, 5.01723, 1.47146e-19
100, 0.119571, 6.41023e-10, 5.00447, 1.47146e-19
100, 0.131206, 6.41377e-10, 5.00116, 1.47146e-19
100, 0.142842, 6.41468e-10, 5.0003, 1.47146e-19
100, 0.154478, 6.41492e-10, 5.00008, 1.47146e-19
100, 0.166114, 6.41498e-10, 5.00002, 1.47146e-19
100, 0.177749, 6.415e-10, 5.00001, 1.47146e-19
100, 0.189385, 6.415e-10, 5, 1.47146e-19
100, 0.201021, 6.415e-10, 5, 1.47146e-19
100, 0.212657, 6.415e-10, 5, 1.47146e-19
100, 0.224292, 6.415e-10, 5, 1.47146e-19
100, 0.235928, 6.415e-10, 5, 1.47146e-19
100, 0.247564, 6.415e-10, 5, 1.47146e-19
100, 0.259199, 6.415e-10, 5, 1.47146e-19
100, 0.270835, 6.415e-10, 5, 1.47146e-19
100, 0.282471, 6.415e-10, 5, 1.47146e-19
100, 0.294107, 6.415e-10, 5, 1.47146e-19
100, 0.305742, 6.415e-10, 5, 1.47146e-19
100, 0.317378, 6.415e-10, 5, 1.47146e-19
100, 0.329014, 6.415e-10, 5, 1.47146e-19
100, 0.34065, 6.415e-10, 5, 1.47146e-19
100, 0.352285, 6.415e-10, 5, 1.47146e-19
100, 0.363921, 6.415e-10, 5, 1.47146e-19
100, 0.375557, 6.415e-10, 5, 1.47146e-19
100, 0.387193, 6.415e-10, 5, 1.47146e-19
100, 0.398828, 6.415e-10, 5, 1.47146e-19
100, 0.410464, 6.415e-10, 5, 1.47146e-19
100, 0.4221, 6.415e-10, 5, 1.47146e-19
100, 0.433735, 6.415e-10, 5, 1.47146e-19
100, 0.445371, 6.415e-10, 5, 1.47146e-19
100, 0.457007, 6.415e-10, 5, 1.47146e-19
100, 0.468643, 6.415e-10, 5, 1.47146e-19
100, 0.480278, 6.415e-10, 5, 1.47146e-19
100, 0.491914, 6.415e-10, 5, 1.47146e-19
100, 0.50355, 6.415e-10, 5, 1.47146e-19
100, 0.515186, 6.415e-10, 5, 1.47146e-19
100, 0.526821, 6.415e-10, 5, 1.47146e-19
100, 0.538457, 6.415e-10, 5, 1.47146e-19
100, 0.550093, 6.415e-10, 5, 1.47146e-19
100, 0.561729, 6.415e-10, 5, 1.47146e-19
100, 0.573364, 6.415e-10, 5, 1.47146e-19
100, 0.585, 6.415e-10, 5, 1.47146e-19
100, 0.596636, 6.415e-10, 5, 1.47146e-19
100, 0.608271, 6.415e-10, 5, 1.47146e-19
100, 0.619907, 6.415e-10, 5, 1.47146e-19
100, 0.631543, 6.415e-10, 5, 1.47146e-19
100, 0.643179, 6.415e-10, 5, 1.47146e-19
100, 0.654814, 6.415e-10, 5, 1.47146e-19
100, 0.66645, 6.415e-10, 5, 1.47146e-19
100, 0.678086, 6.415e-10, 5, 1.47146e-19
100, 0.689722, 6.415e-10, 5, 1.47146e-19
100, 0.701357, 6.415e-10, 5, 1.47146e-19
100, 0.712993, 6.415e-10, 5, 1.47146e-19
100, 0.724629, 6.415e-10, 5, 1.47146e-19
100, 0.736265, 6.415e-10, 5, 1.47146e-19
100, 0.7479, 6.415e-10, 5, 1.47146e-19
