Temperature, Et, NtSigman, k, chi2
463, 0.0461313, 0.0120539, 6006.34, 0.00141397
463, 0.0569086, 0.00920096, 4584.52, 0.00141397
463, 0.067686, 0.00702338, 3499.27, 0.00141397
463, 0.0784634, 0.00536126, 2670.91, 0.00141397
463, 0.0892408, 0.00409259, 2038.64, 0.00141397
463, 0.100018, 0.00312423, 1556.03, 0.00141397
463, 0.110796, 0.00238509, 1187.67, 0.00141397
463, 0.121573, 0.00182092, 906.499, 0.00141397
463, 0.13235, 0.0013903, 691.887, 0.00141397
463, 0.143128, 0.00106161, 528.077, 0.00141397
463, 0.153905, 0.000810722, 403.043, 0.00141397
463, 0.164682, 0.000619226, 307.606, 0.00141397
463, 0.17546, 0.000473059, 234.761, 0.00141397
463, 0.186237, 0.000361493, 179.159, 0.00141397
463, 0.197015, 0.000276335, 136.718, 0.00141397
463, 0.207792, 0.000211336, 104.324, 0.00141397
463, 0.218569, 0.000161723, 79.5984, 0.00141397
463, 0.229347, 0.000123854, 60.7254, 0.00141397
463, 0.240124, 9.49487e-05, 46.32, 0.00141397
463, 0.250901, 7.2886e-05, 35.3245, 0.00141397
463, 0.261679, 5.60458e-05, 26.9318, 0.00141397
463, 0.272456, 4.3192e-05, 20.5258, 0.00141397
463, 0.283234, 3.33808e-05, 15.6361, 0.00141397
463, 0.294011, 2.58921e-05, 11.904, 0.00141397
463, 0.304788, 2.01761e-05, 9.05523, 0.00141397
463, 0.315566, 1.58131e-05, 6.88084, 0.00141397
463, 0.326343, 1.24829e-05, 5.22115, 0.00141397
463, 0.33712, 9.94101e-06, 3.95434, 0.00141397
463, 0.347898, 8.00082e-06, 2.9874, 0.00141397
463, 0.358675, 6.5199e-06, 2.24935, 0.00141397
463, 0.369453, 5.38953e-06, 1.686, 0.00141397
463, 0.38023, 4.52674e-06, 1.25601, 0.00141397
463, 0.391007, 3.86818e-06, 0.927803, 0.00141397
463, 0.401785, 3.36552e-06, 0.677286, 0.00141397
463, 0.412562, 2.98184e-06, 0.486071, 0.00141397
463, 0.423339, 2.68898e-06, 0.340118, 0.00141397
463, 0.434117, 2.46545e-06, 0.228715, 0.00141397
463, 0.444894, 2.29483e-06, 0.143682, 0.00141397
463, 0.455672, 2.1646e-06, 0.0787783, 0.00141397
463, 0.466449, 2.06519e-06, 0.0292379, 0.00141397
463, 0.477226, 1.98932e-06, -0.00857571, 0.00141397
463, 0.488004, 1.9314e-06, -0.0374383, 0.00141397
463, 0.498781, 1.8872e-06, -0.0594687, 0.00141397
463, 0.509558, 1.85346e-06, -0.0762842, 0.00141397
463, 0.520336, 1.8277e-06, -0.0891193, 0.00141397
463, 0.531113, 1.80805e-06, -0.0989161, 0.00141397
463, 0.541891, 1.79304e-06, -0.106394, 0.00141397
463, 0.552668, 1.78159e-06, -0.112102, 0.00141397
463, 0.563445, 1.77285e-06, -0.116459, 0.00141397
463, 0.574223, 1.76617e-06, -0.119784, 0.00141397
463, 0.585, 1.76108e-06, -0.122323, 0.00141397
463, 0.595777, 1.75719e-06, -0.12426, 0.00141397
463, 0.606555, 1.75423e-06, -0.12574, 0.00141397
463, 0.617332, 1.75196e-06, -0.126869, 0.00141397
463, 0.628109, 1.75023e-06, -0.127731, 0.00141397
463, 0.638887, 1.74891e-06, -0.12839, 0.00141397
463, 0.649664, 1.7479e-06, -0.128893, 0.00141397
463, 0.660442, 1.74712e-06, -0.129279, 0.00141397
463, 0.671219, 1.74653e-06, -0.129574, 0.00141397
463, 0.681996, 1.74608e-06, -0.1298, 0.00141397
463, 0.692774, 1.74573e-06, -0.129975, 0.00141397
463, 0.703551, 1.74545e-06, -0.130111, 0.00141397
463, 0.714328, 1.74524e-06, -0.130218, 0.00141397
463, 0.725106, 1.74507e-06, -0.130303, 0.00141397
463, 0.735883, 1.74493e-06, -0.130374, 0.00141397
463, 0.746661, 1.7448e-06, -0.130435, 0.00141397
463, 0.757438, 1.74469e-06, -0.130491, 0.00141397
463, 0.768215, 1.74458e-06, -0.130546, 0.00141397
463, 0.778993, 1.74446e-06, -0.130604, 0.00141397
463, 0.78977, 1.74433e-06, -0.13067, 0.00141397
463, 0.800547, 1.74418e-06, -0.130747, 0.00141397
463, 0.811325, 1.74399e-06, -0.130842, 0.00141397
463, 0.822102, 1.74374e-06, -0.130963, 0.00141397
463, 0.83288, 1.74344e-06, -0.131117, 0.00141397
463, 0.843657, 1.74303e-06, -0.131317, 0.00141397
463, 0.854434, 1.74251e-06, -0.131577, 0.00141397
463, 0.865212, 1.74183e-06, -0.131918, 0.00141397
463, 0.875989, 1.74093e-06, -0.132367, 0.00141397
463, 0.886766, 1.73974e-06, -0.132958, 0.00141397
463, 0.897544, 1.73817e-06, -0.13374, 0.00141397
463, 0.908321, 1.73609e-06, -0.134777, 0.00141397
463, 0.919099, 1.73331e-06, -0.136161, 0.00141397
463, 0.929876, 1.72959e-06, -0.138017, 0.00141397
463, 0.940653, 1.72456e-06, -0.140526, 0.00141397
463, 0.951431, 1.71768e-06, -0.143954, 0.00141397
463, 0.962208, 1.70814e-06, -0.148708, 0.00141397
463, 0.972985, 1.69465e-06, -0.155431, 0.00141397
463, 0.983763, 1.67501e-06, -0.165217, 0.00141397
463, 0.99454, 1.64521e-06, -0.180071, 0.00141397
463, 1.00532, 1.59697e-06, -0.204112, 0.00141397
463, 1.01609, 1.51014e-06, -0.247383, 0.00141397
463, 1.02687, 1.31926e-06, -0.342514, 0.00141397
463, 1.03765, 6.21467e-07, -0.690277, 0.00141397
463, 1.04843, 6.20107e-06, 2.09045, 0.00141397
463, 1.0592, 2.67469e-06, 0.332995, 0.00141397
463, 1.06998, 2.32448e-06, 0.158461, 0.00141397
463, 1.08076, 2.19503e-06, 0.0939484, 0.00141397
463, 1.09154, 2.12946e-06, 0.0612689, 0.00141397
463, 1.10231, 2.09098e-06, 0.0420884, 0.00141397
463, 1.11309, 2.06641e-06, 0.0298469, 0.00141397
463, 1.12387, 2.04989e-06, 0.0216118, 0.00141397
453, 0.0445656, 0.0119869, 6054.36, 0.00140514
453, 0.0553743, 0.00908816, 4590.03, 0.00140514
453, 0.066183, 0.00689053, 3479.86, 0.00140514
453, 0.0769917, 0.00522442, 2638.2, 0.00140514
453, 0.0878003, 0.00396128, 2000.1, 0.00140514
453, 0.098609, 0.00300364, 1516.34, 0.00140514
453, 0.109418, 0.00227761, 1149.57, 0.00140514
453, 0.120226, 0.00172718, 871.515, 0.00140514
453, 0.131035, 0.00130988, 660.708, 0.00140514
453, 0.141844, 0.000993511, 500.888, 0.00140514
453, 0.152652, 0.000753656, 379.721, 0.00140514
453, 0.163461, 0.000571813, 287.86, 0.00140514
453, 0.17427, 0.00043395, 218.217, 0.00140514
