Temperature, Et, tn0, k, chi2
463, 0.0461313, 1.46479e-08, 10987.7, 0.000436849
463, 0.0569086, 1.91897e-08, 8386.87, 0.000436849
463, 0.067686, 2.51394e-08, 6401.72, 0.000436849
463, 0.0784634, 3.29332e-08, 4886.48, 0.000436849
463, 0.0892408, 4.31422e-08, 3729.92, 0.000436849
463, 0.100018, 5.65143e-08, 2847.14, 0.000436849
463, 0.110796, 7.40279e-08, 2173.32, 0.000436849
463, 0.121573, 9.69638e-08, 1659, 0.000436849
463, 0.13235, 1.26997e-07, 1266.43, 0.000436849
463, 0.143128, 1.66317e-07, 966.791, 0.000436849
463, 0.153905, 2.17785e-07, 738.078, 0.000436849
463, 0.164682, 2.85136e-07, 563.504, 0.000436849
463, 0.17546, 3.73237e-07, 430.255, 0.000436849
463, 0.186237, 4.88429e-07, 328.547, 0.000436849
463, 0.197015, 6.38946e-07, 250.915, 0.000436849
463, 0.207792, 8.35464e-07, 191.66, 0.000436849
463, 0.218569, 1.09177e-06, 146.431, 0.000436849
463, 0.229347, 1.42558e-06, 111.909, 0.000436849
463, 0.240124, 1.85957e-06, 85.558, 0.000436849
463, 0.250901, 2.42246e-06, 65.445, 0.000436849
463, 0.261679, 3.15034e-06, 50.093, 0.000436849
463, 0.272456, 4.08787e-06, 38.3751, 0.000436849
463, 0.283234, 5.28936e-06, 29.4309, 0.000436849
463, 0.294011, 6.8192e-06, 22.604, 0.000436849
463, 0.304788, 8.75113e-06, 17.3931, 0.000436849
463, 0.315566, 1.11656e-05, 13.4157, 0.000436849
463, 0.326343, 1.41444e-05, 10.3798, 0.000436849
463, 0.33712, 1.77611e-05, 8.06252, 0.000436849
463, 0.347898, 2.20682e-05, 6.29378, 0.000436849
463, 0.358675, 2.70807e-05, 4.94373, 0.000436849
463, 0.369453, 3.27604e-05, 3.91326, 0.000436849
463, 0.38023, 3.90045e-05, 3.12671, 0.000436849
463, 0.391007, 4.5645e-05, 2.52635, 0.000436849
463, 0.401785, 5.24625e-05, 2.0681, 0.000436849
463, 0.412562, 5.92129e-05, 1.71833, 0.000436849
463, 0.423339, 6.56618e-05, 1.45135, 0.000436849
463, 0.434117, 7.16151e-05, 1.24757, 0.000436849
463, 0.444894, 7.69397e-05, 1.09203, 0.000436849
463, 0.455672, 8.15687e-05, 0.973309, 0.000436849
463, 0.466449, 8.54949e-05, 0.88269, 0.000436849
463, 0.477226, 8.87557e-05, 0.813521, 0.000436849
463, 0.488004, 9.1417e-05, 0.760726, 0.000436849
463, 0.498781, 9.35583e-05, 0.720428, 0.000436849
463, 0.509558, 9.52614e-05, 0.68967, 0.000436849
463, 0.520336, 9.66037e-05, 0.666192, 0.000436849
463, 0.531113, 9.7654e-05, 0.648272, 0.000436849
463, 0.541891, 9.84711e-05, 0.634595, 0.000436849
463, 0.552668, 9.9104e-05, 0.624155, 0.000436849
463, 0.563445, 9.95926e-05, 0.616188, 0.000436849
463, 0.574223, 9.99687e-05, 0.610107, 0.000436849
463, 0.585, 0.000100258, 0.605467, 0.000436849
463, 0.595777, 0.000100479, 0.601926, 0.000436849
463, 0.606555, 0.000100649, 0.599225, 0.000436849
463, 0.617332, 0.000100779, 0.597166, 0.000436849
463, 0.628109, 0.000100878, 0.595597, 0.000436849
463, 0.638887, 0.000100953, 0.594404, 0.000436849
463, 0.649664, 0.000101011, 0.593498, 0.000436849
463, 0.660442, 0.000101054, 0.592814, 0.000436849
463, 0.671219, 0.000101087, 0.5923, 0.000436849
463, 0.681996, 0.000101111, 0.59192, 0.000436849
463, 0.692774, 0.000101128, 0.591645, 0.000436849
463, 0.703551, 0.00010114, 0.591455, 0.000436849
463, 0.714328, 0.000101148, 0.591336, 0.000436849
463, 0.725106, 0.000101152, 0.59128, 0.000436849
463, 0.735883, 0.000101151, 0.591282, 0.000436849
463, 0.746661, 0.000101148, 0.591342, 0.000436849
463, 0.757438, 0.00010114, 0.591466, 0.000436849
463, 0.768215, 0.000101127, 0.591661, 0.000436849
463, 0.778993, 0.000101109, 0.591944, 0.000436849
463, 0.78977, 0.000101085, 0.592334, 0.000436849
463, 0.800547, 0.000101051, 0.592861, 0.000436849
463, 0.811325, 0.000101006, 0.593565, 0.000436849
463, 0.822102, 0.000100947, 0.594498, 0.000436849
463, 0.83288, 0.000100869, 0.595731, 0.000436849
463, 0.843657, 0.000100766, 0.597361, 0.000436849
463, 0.854434, 0.000100631, 0.599513, 0.000436849
463, 0.865212, 0.000100452, 0.602359, 0.000436849
463, 0.875989, 0.000100216, 0.606131, 0.000436849
463, 0.886766, 9.99042e-05, 0.611148, 0.000436849
463, 0.897544, 9.94904e-05, 0.617848, 0.000436849
463, 0.908321, 9.89397e-05, 0.626853, 0.000436849
463, 0.919099, 9.82031e-05, 0.639057, 0.000436849
463, 0.929876, 9.7211e-05, 0.655783, 0.000436849
463, 0.940653, 9.58628e-05, 0.67907, 0.000436849
463, 0.951431, 9.40077e-05, 0.712204, 0.000436849
463, 0.962208, 9.1411e-05, 0.760841, 0.000436849
463, 0.972985, 8.7688e-05, 0.835603, 0.000436849
463, 0.983763, 8.21616e-05, 0.95907, 0.000436849
463, 0.99454, 7.35215e-05, 1.1893, 0.000436849
463, 1.00532, 5.88537e-05, 1.73492, 0.000436849
463, 1.01609, 3.00924e-05, 4.34887, 0.000436849
463, 1.02687, -4.64485e-05, -4.46535, 0.000436849
463, 1.03765, -0.00072637, -1.2216, 0.000436849
463, 1.04843, 0.000430272, -0.62591, 0.000436849
463, 1.0592, 0.00026042, -0.381919, 0.000436849
463, 1.06998, 0.00021542, -0.252808, 0.000436849
463, 1.08076, 0.000195153, -0.175208, 0.000436849
463, 1.09154, 0.000183946, -0.124957, 0.000436849
463, 1.10231, 0.000177041, -0.0908281, 0.000436849
463, 1.11309, 0.000172499, -0.0668922, 0.000436849
463, 1.12387, 0.000169383, -0.0497245, 0.000436849
453, 0.0445656, 1.50131e-08, 10651.7, 0.000420285
453, 0.0553743, 1.98015e-08, 8075.63, 0.000420285
453, 0.066183, 2.61169e-08, 6122.6, 0.000420285
453, 0.0769917, 3.44458e-08, 4641.93, 0.000420285
453, 0.0878003, 4.54297e-08, 3519.38, 0.000420285
453, 0.098609, 5.99139e-08, 2668.33, 0.000420285
453, 0.109418, 7.90124e-08, 2023.11, 0.000420285
453, 0.120226, 1.04192e-07, 1533.95, 0.000420285
453, 0.131035, 1.37386e-07, 1163.09, 0.000420285
453, 0.141844, 1.81135e-07, 881.931, 0.000420285
453, 0.152652, 2.38782e-07, 668.773, 0.000420285
453, 0.163461, 3.14718e-07, 507.169, 0.000420285
453, 0.17427, 4.14701e-07, 384.65, 0.000420285
453, 0.185079, 5.46274e-07, 291.765, 0.000420285
453, 0.195887, 7.1929e-07, 221.344, 0.000420285
453, 0.206696, 9.4658e-07, 167.955, 0.000420285
453, 0.217505, 1.24479e-06, 127.479, 0.000420285
453, 0.228313, 1.63539e-06, 96.7928, 0.000420285
453, 0.239122, 2.1459e-06, 73.5282, 0.000420285
453, 0.249931, 2.81119e-06, 55.8903, 0.000420285
453, 0.260739, 3.67499e-06, 42.5184, 0.000420285
453, 0.271548, 4.7911e-06, 32.3806, 0.000420285
453, 0.282357, 6.22423e-06, 24.6947, 0.000420285
453, 0.293165, 8.04972e-06, 18.8677, 0.000420285
453, 0.303974, 1.03514e-05, 14.4501, 0.000420285
453, 0.314783, 1.32164e-05, 11.1009, 0.000420285
453, 0.325591, 1.6726e-05, 8.56173, 0.000420285
453, 0.3364, 2.09423e-05, 6.63669, 0.000420285
453, 0.347209, 2.58901e-05, 5.17725, 0.000420285
453, 0.358018, 3.15395e-05, 4.07078, 0.000420285
453, 0.368826, 3.77912e-05, 3.23193, 0.000420285
453, 0.379635, 4.44749e-05, 2.59596, 0.000420285
453, 0.390444, 5.13615e-05, 2.1138, 0.000420285
453, 0.401252, 5.8193e-05, 1.74826, 0.000420285
453, 0.412061, 6.47192e-05, 1.47113, 0.000420285
453, 0.42287, 7.07331e-05, 1.26103, 0.000420285
453, 0.433678, 7.60939e-05, 1.10174, 0.000420285
453, 0.444487, 8.07327e-05, 0.980979, 0.000420285
453, 0.455296, 8.46447e-05, 0.889425, 0.000420285
453, 0.466104, 8.78728e-05, 0.820014, 0.000420285
453, 0.476913, 9.04892e-05, 0.76739, 0.000420285
453, 0.487722, 9.2579e-05, 0.727494, 0.000420285
453, 0.49853, 9.42289e-05, 0.697248, 0.000420285
