Temperature, Et, tn0, k, chi2
463, 0.0461313, 2.16807e-09, 17566.6, 0.000129399
463, 0.0569086, 2.84031e-09, 13408.7, 0.000129399
463, 0.067686, 3.72094e-09, 10235.1, 0.000129399
463, 0.0784634, 4.87453e-09, 7812.65, 0.000129399
463, 0.0892408, 6.3856e-09, 5963.65, 0.000129399
463, 0.100018, 8.36482e-09, 4552.33, 0.000129399
463, 0.110796, 1.09571e-08, 3475.1, 0.000129399
463, 0.121573, 1.43519e-08, 2652.86, 0.000129399
463, 0.13235, 1.87972e-08, 2025.26, 0.000129399
463, 0.143128, 2.4617e-08, 1546.21, 0.000129399
463, 0.153905, 3.2235e-08, 1180.57, 0.000129399
463, 0.164682, 4.22037e-08, 901.477, 0.000129399
463, 0.17546, 5.52438e-08, 688.45, 0.000129399
463, 0.186237, 7.22936e-08, 525.849, 0.000129399
463, 0.197015, 9.45721e-08, 401.739, 0.000129399
463, 0.207792, 1.23659e-07, 307.007, 0.000129399
463, 0.218569, 1.61595e-07, 234.699, 0.000129399
463, 0.229347, 2.11004e-07, 179.508, 0.000129399
463, 0.240124, 2.75239e-07, 137.381, 0.000129399
463, 0.250901, 3.58555e-07, 105.226, 0.000129399
463, 0.261679, 4.6629e-07, 80.6828, 0.000129399
463, 0.272456, 6.05057e-07, 61.9492, 0.000129399
463, 0.283234, 7.82893e-07, 47.6501, 0.000129399
463, 0.294011, 1.00933e-06, 36.7359, 0.000129399
463, 0.304788, 1.29528e-06, 28.4052, 0.000129399
463, 0.315566, 1.65266e-06, 22.0464, 0.000129399
463, 0.326343, 2.09355e-06, 17.1929, 0.000129399
463, 0.33712, 2.62887e-06, 13.4883, 0.000129399
463, 0.347898, 3.26637e-06, 10.6606, 0.000129399
463, 0.358675, 4.00828e-06, 8.50228, 0.000129399
463, 0.369453, 4.84895e-06, 6.85485, 0.000129399
463, 0.38023, 5.77316e-06, 5.5974, 0.000129399
463, 0.391007, 6.75604e-06, 4.6376, 0.000129399
463, 0.401785, 7.76511e-06, 3.905, 0.000129399
463, 0.412562, 8.76426e-06, 3.34581, 0.000129399
463, 0.423339, 9.71877e-06, 2.919, 0.000129399
463, 0.434117, 1.05999e-05, 2.59321, 0.000129399
463, 0.444894, 1.1388e-05, 2.34455, 0.000129399
463, 0.455672, 1.20732e-05, 2.15474, 0.000129399
463, 0.466449, 1.26543e-05, 2.00987, 0.000129399
463, 0.477226, 1.3137e-05, 1.89929, 0.000129399
463, 0.488004, 1.35309e-05, 1.81489, 0.000129399
463, 0.498781, 1.38478e-05, 1.75046, 0.000129399
463, 0.509558, 1.40999e-05, 1.70129, 0.000129399
463, 0.520336, 1.42985e-05, 1.66376, 0.000129399
463, 0.531113, 1.4454e-05, 1.63511, 0.000129399
463, 0.541891, 1.45749e-05, 1.61325, 0.000129399
463, 0.552668, 1.46686e-05, 1.59656, 0.000129399
463, 0.563445, 1.47409e-05, 1.58383, 0.000129399
463, 0.574223, 1.47965e-05, 1.57411, 0.000129399
463, 0.585, 1.48392e-05, 1.5667, 0.000129399
463, 0.595777, 1.4872e-05, 1.56104, 0.000129399
463, 0.606555, 1.4897e-05, 1.55674, 0.000129399
463, 0.617332, 1.49162e-05, 1.55346, 0.000129399
463, 0.628109, 1.49307e-05, 1.55097, 0.000129399
463, 0.638887, 1.49418e-05, 1.54909, 0.000129399
463, 0.649664, 1.49501e-05, 1.54767, 0.000129399
463, 0.660442, 1.49562e-05, 1.54662, 0.000129399
463, 0.671219, 1.49607e-05, 1.54585, 0.000129399
463, 0.681996, 1.49639e-05, 1.54532, 0.000129399
463, 0.692774, 1.49659e-05, 1.54497, 0.000129399
463, 0.703551, 1.4967e-05, 1.54479, 0.000129399
463, 0.714328, 1.49671e-05, 1.54476, 0.000129399
463, 0.725106, 1.49664e-05, 1.54488, 0.000129399
463, 0.735883, 1.49648e-05, 1.54517, 0.000129399
463, 0.746661, 1.49621e-05, 1.54563, 0.000129399
463, 0.757438, 1.49581e-05, 1.5463, 0.000129399
463, 0.768215, 1.49526e-05, 1.54724, 0.000129399
463, 0.778993, 1.49451e-05, 1.54852, 0.000129399
463, 0.78977, 1.49351e-05, 1.55023, 0.000129399
463, 0.800547, 1.49218e-05, 1.55249, 0.000129399
463, 0.811325, 1.49043e-05, 1.55549, 0.000129399
463, 0.822102, 1.48813e-05, 1.55944, 0.000129399
463, 0.83288, 1.4851e-05, 1.56467, 0.000129399
463, 0.843657, 1.48111e-05, 1.57158, 0.000129399
463, 0.854434, 1.47586e-05, 1.58073, 0.000129399
463, 0.865212, 1.46894e-05, 1.59288, 0.000129399
463, 0.875989, 1.45981e-05, 1.6091, 0.000129399
463, 0.886766, 1.44774e-05, 1.63085, 0.000129399
463, 0.897544, 1.43174e-05, 1.66025, 0.000129399
463, 0.908321, 1.41044e-05, 1.70042, 0.000129399
463, 0.919099, 1.38195e-05, 1.75609, 0.000129399
463, 0.929876, 1.34359e-05, 1.83479, 0.000129399
463, 0.940653, 1.29145e-05, 1.94923, 0.000129399
463, 0.951431, 1.21971e-05, 2.12269, 0.000129399
463, 0.962208, 1.1193e-05, 2.40283, 0.000129399
463, 0.972985, 9.75328e-06, 2.90513, 0.000129399
463, 0.983763, 7.61621e-06, 4.00089, 0.000129399
463, 0.99454, 4.27507e-06, 7.90928, 0.000129399
463, 1.00532, 1.7226e-08, 2130.32, 0.00013024
463, 1.01609, -1.2519e-05, -4.04239, 0.000129399
463, 1.02687, -4.21176e-05, -1.90432, 0.000129399
463, 1.03765, -0.000305045, -1.12486, 0.000129399
463, 1.04843, 0.000142231, -0.732212, 0.000129399
463, 1.0592, 7.65489e-05, -0.502438, 0.000129399
463, 1.06998, 5.91476e-05, -0.356054, 0.000129399
463, 1.08076, 5.13101e-05, -0.257693, 0.000129399
463, 1.09154, 4.69763e-05, -0.189212, 0.000129399
463, 1.10231, 4.43061e-05, -0.140348, 0.000129399
463, 1.11309, 4.25499e-05, -0.104867, 0.000129399
463, 1.12387, 4.13448e-05, -0.0787762, 0.000129399
453, 0.0445656, 2.1707e-09, 16691.4, 8.6778e-05
453, 0.0553743, 2.86305e-09, 12654.8, 8.6778e-05
453, 0.066183, 3.77617e-09, 9594.45, 8.6778e-05
453, 0.0769917, 4.98043e-09, 7274.3, 8.6778e-05
453, 0.0878003, 6.56855e-09, 5515.3, 8.6778e-05
453, 0.098609, 8.66278e-09, 4181.73, 8.6778e-05
453, 0.109418, 1.14242e-08, 3170.7, 8.6778e-05
453, 0.120226, 1.50649e-08, 2404.2, 8.6778e-05
453, 0.131035, 1.98642e-08, 1823.09, 8.6778e-05
453, 0.141844, 2.61898e-08, 1382.52, 8.6778e-05
453, 0.152652, 3.45248e-08, 1048.51, 8.6778e-05
453, 0.163461, 4.55042e-08, 795.281, 8.6778e-05
453, 0.17427, 5.99605e-08, 603.3, 8.6778e-05
453, 0.185079, 7.89843e-08, 457.751, 8.6778e-05
453, 0.195887, 1.04e-07, 347.404, 8.6778e-05
